Attribute,Description
IHGF_Y,KBM-Flag-Survey-Hobby - Gardening - Flowers
IHGO_Y,KBM-Flag-Survey-Hobby - Gardening - Organic
IHGREEN_Y,KBM-Flag-Survey-Hobby - Green
IHGV_Y,KBM-Flag-Survey-Hobby - Gardening - Vegetables
IHH_Y,KBM-Flag-Survey-Household Level Match
IHHI_Y,KBM-Flag-Survey-Hobby - Home Improvement or Repair
IHHS_Y,KBM-Flag-Survey-Hobby - Home Study Courses
IHIGHSCL_Y,KBM-Flag-Survey-High School Graduate
IHKN_Y,KBM-Flag-Survey-Hobby - Knitting or Needlework
IHLO_Y,KBM-Flag-Survey-Hobby - Lotteries or Sweepstakes
IHNETWRK_Y,KBM-Flag-Survey-Hobby - Social Networking
IHORSE_Y,KBM-Flag-Survey-Own A Horse
IHPH_Y,KBM-Flag-Survey-Hobby - Photography
IHQU_Y,KBM-Flag-Survey-Hobby - Quilting
IHSCRAP_Y,KBM-Flag-Survey-Hobby - Scrap Booking
IHSE_Y,KBM-Flag-Survey-Hobby - Self-Improvement Courses
IHSPTWEL_Y,KBM-Flag-Survey-Hobby - Spirituality & Wellness
IHSW_Y,KBM-Flag-Survey-Hobby - Sewing
IHTH_Y,KBM-Flag-Survey-Hobby - Theater or Performing Arts
IHWI_Y,KBM-Flag-Survey-Hobby - Wine Appreciation
IHWO_Y,KBM-Flag-Survey-Hobby - Wood Working
IIND_Y,KBM-Flag-Survey-Individual Level Match
IMALT_Y,KBM-Flag-Survey-Music - Alternative
IMBBND_Y,KBM-Flag-Survey-Music - Big band or swing
IMBM_Y,KBM-Flag-Survey-Mail Order - Books/Magazines
IMBO_Y,KBM-Flag-Survey-Mail Order - Books
IMCH_Y,KBM-Flag-Survey-Mail Order - Childrens Products
IMCL_Y,KBM-Flag-Survey-Mail Order - Clothing
IMCO_Y,KBM-Flag-Survey-Mail Order - Cosmetics
IMCS_Y,KBM-Flag-Survey-Music - Classical
IMCU_Y,KBM-Flag-Survey-Music - Country
IMDV_Y,KBM-Flag-Survey-Mail Order - DVD
IMFO_Y,KBM-Flag-Survey-Mail Order - Food Products
IMGI_Y,KBM-Flag-Survey-Mail Order - Gifts
IMGO_Y,KBM-Flag-Survey-Music - Christian or Gospel
IMHO_Y,KBM-Flag-Survey-Mail Order - Home Furnishings
IMJA_Y,KBM-Flag-Survey-Music - Jazz
IMJE_Y,KBM-Flag-Survey-Mail Order - Jewelry
IMMA_Y,KBM-Flag-Survey-Mail Order - Magazines
IMOB_M,KBM-Flag-Survey - Mail Order Buyer = M - Multiple
IMOB_S,KBM-Flag-Survey - Mail Order Buyer = S - Single
IMOR_Y,KBM-Flag-Survey-Music - Other
IMOT_Y,KBM-Flag-Survey-Mail Order - Other
IMPS_Y,KBM-Flag-Survey-Mail Order - Plus Size Clothing
IMRH_Y,KBM-Flag-Survey-Music - Rhythm and Blues
IMRO_Y,KBM-Flag-Survey-Music - Rock n Roll
IMSO_Y,KBM-Flag-Survey-Music - Soft Rock
IN401K_Y,KBM-Flag-Survey-Investments - 401K
INCD_Y,KBM-Flag-Survey-Investments - CD
INIRA_Y,KBM-Flag-Survey-Investments - IRA
INLI_Y,KBM-Flag-Survey-Investments - Life Insurance
INMEDI_Y,KBM-Flag-Survey-Investments - Medicare Coverage
INMU_Y,KBM-Flag-Survey-Investments - Mutual Funds
INNOMEDI_Y,KBM-Flag-Survey-Investments - No Medicare Coverage
INOT_Y,KBM-Flag-Survey-Investments - Other
INRE_Y,KBM-Flag-Survey-Investments - Real Estate
INSB_Y,KBM-Flag-Survey-Investments - Stocks or Bonds
INSHOP_Y,KBM-Flag-Buyer - Catalog - Online Shopper
INTSTMED_Y,KBM-Flag-Survey-Investments - Interested in Medicare Coverage
INVE_Y,KBM-Flag-Survey-Investments
INVESTOR_Y,KBM-Flag-Real Estate Investor
IOAPPLE_Y,KBM-Flag-Survey-Electronics - Apple Device
IOATV_Y,KBM-Flag-Survey-Own an All Terrain Vehicle
IOC_Y,KBM-Flag-Survey-Own A Computer
IOCABLE_Y,KBM-Flag-Survey-Electronics - Cable TV
IOCD_Y,KBM-Flag-Survey-Own a CD/DVD Player
IOCE_Y,KBM-Flag-Survey-Own a Cellular Phone
IODIGITL_Y,KBM-Flag-Survey-Own A Digital/Video Camera
IODOCTOR_Y,KBM-Flag-Survey-Occupation - Doctor
IODVDPLR_Y,KBM-Flag-Survey-Electronics - HD DVD Player
IODVR_Y,KBM-Flag-Survey-Electronics - DVR
IOELEOT_Y,KBM-Flag-Survey-Electronics Other
IOFULL_Y,KBM-Flag-Survey-Occupation - Full Time
IOGPS_Y,KBM-Flag-Survey-Electronics - GPS
IOHDTV_Y,KBM-Flag-Survey-Electronics - HDTV
IOHISPED_Y,KBM-Flag-Survey-Electronics - High Speed Internet
IOHMTHR_Y,KBM-Flag-Survey-Electronics - Home Theater System
IOMO_Y,KBM-Flag-Survey-Own a Motorcycle
IONURSE_Y,KBM-Flag-Survey-Occupation - Nurse
IOPART_Y,KBM-Flag-Survey-Occupation - Part Time
IORV_Y,KBM-Flag-Survey-Own An RV
IOSATELL_Y,KBM-Flag-Survey-Electronics - Satellite TV
IOSATRAD_Y,KBM-Flag-Survey-Electronics - Satellite Radio
IOSMART_Y,KBM-Flag-Survey-Own a Smart Phone
IOSW_Y,KBM-Flag-Survey-Own a Swimming Pool
IOTEACHR_Y,KBM-Flag-Survey-Occupation - Teacher
IOVIDGAM_Y,KBM-Flag-Survey-Electronics - Video Game Systems
IPBEAUTY_Y,KBM-Flag-Survey-Purchase - Beauty Products
IPCLUB_Y,KBM-Flag-Survey-Purchase - Club Stores
IPCOUPON_Y,KBM-Flag-Survey-Purchase - Uses Coupons
IPDECOR_Y,KBM-Flag-Survey-Purchase - Home Decorating
IPFFOOD_Y,KBM-Flag-Survey-Purchase - Fast Foods
IPSPCBTY_Y,KBM-Flag-Survey-Purchase - Specialty Beauty Products
IRAS_Y,KBM-Flag-Survey-Reading - Astrology
IRBEST_Y,KBM-Flag-Survey-Reading - Best Sellers
IRBF_Y,KBM-Flag-Survey-Reading - Best Selling Fiction
IRBI_Y,KBM-Flag-Survey-Reading - Bible or Devotional
IRBKCLUB_Y,KBM-Flag-Survey-Reading - Book Club
IRBT_Y,KBM-Flag-Survey-Reading - Books on Tape
IRCH_Y,KBM-Flag-Survey-Reading - Childrens
IRCK_Y,KBM-Flag-Survey-Reading - Cooking or Culinary
IRCL_Y,KBM-Flag-Survey-Reading - Country Lifestyle
IRCO_Y,KBM-Flag-Survey-Reading - Computer
IRCOMICS_Y,KBM-Flag-Survey-Reading - Comics
IRDEBIT_Y,KBM-Flag-Survey-Credit Cards - ATM/Debit
IREA_Y,KBM-Flag-Survey-Likes To Read
IRFA_Y,KBM-Flag-Survey-Reading - Fashion
IRFINAN_Y,KBM-Flag-Survey-Reading - Financial
IRHI_Y,KBM-Flag-Survey-Reading - History
IRHMGRDN_Y,KBM-Flag-Survey-Reading - Home & Garden
IRIN_Y,KBM-Flag-Survey-Reading - Interior Decorating
IRMAGAZN_Y,KBM-Flag-Survey-Reading - Magazines
IRME_Y,KBM-Flag-Survey-Reading - Medical or Health
IRMI_Y,KBM-Flag-Survey-Reading - Military
IRMY_Y,KBM-Flag-Survey-Reading - Mystery
IRNA_Y,KBM-Flag-Survey-Reading - Natural Health Remedies
IRPE_Y,KBM-Flag-Survey-Reading - People or Entertainment
IRRO_Y,KBM-Flag-Survey-Reading - Romance
IRSELF_Y,KBM-Flag-Survey-Reading - Self-Improvement
IRSF_Y,KBM-Flag-Survey-Reading - Science Fiction
IRSP_Y,KBM-Flag-Survey-Reading - Sports
IRST_Y,KBM-Flag-Survey-Reading - Science or Technology
IRTHRLL_Y,KBM-Flag-Survey-Reading - Thriller or Suspense
IRTRLENT_Y,KBM-Flag-Survey-Reading - Travel & Entertainment
IRWO_Y,KBM-Flag-Survey-Reading - World News or Politics
ISBB_Y,KBM-Flag-Survey-Sporting - Baseball
ISBK_Y,KBM-Flag-Survey-Sporting - Basketball
ISBO_Y,KBM-Flag-Survey-Sporting - Boating or Sailing
ISBY_Y,KBM-Flag-Survey-Sporting - Biking
ISCA_Y,KBM-Flag-Survey-Sporting - Camping or Hiking
ISDATEON_D,KBM-HUM-Date-Indicates the recency of the online consumer survey
ISDT_D,KBM-HUM-Date-Indicates the recency of the consumer survey
ISEXTREM_Y,KBM-Flag-Survey-Sporting - Extreme Sports
ISFI_Y,KBM-Flag-Survey-Sporting - Fitness
ISFO_Y,KBM-Flag-Survey-Sporting - Football
ISFS_Y,KBM-Flag-Survey-Sporting - Fishing
ISGO_Y,KBM-Flag-Survey-Sporting - Golf
ISHO_Y,KBM-Flag-Survey-Sporting - Hockey
ISHU_Y,KBM-Flag-Survey-Sporting - Hunting
ISHUM_Y,KBM-Flag-Survey-Donor - Humanitarian or World Relief
ISMTRCRS_Y,KBM-Flag-Survey-Sporting - Motocross
ISNA_Y,KBM-Flag-Survey-Sporting - NASCAR
ISOT_Y,KBM-Flag-Survey-Sporting - Other
ISPO_Y,KBM-Flag-Survey-Sporting Interests
ISROLLER_Y,KBM-Flag-Survey-Sporting - Rollerblading
ISRU_Y,KBM-Flag-Survey-Sporting - Running
ISSC_Y,KBM-Flag-Survey-Sporting - Scuba
ISSKATE_Y,KBM-Flag-Survey-Sporting - Skateboarding
ISSN_Y,KBM-Flag-Survey-Sporting - Snow Skiing
ISSNWBRD_Y,KBM-Flag-Survey-Sporting - Snowboarding
ISTE_Y,KBM-Flag-Survey-Sporting - Tennis
ISWA_Y,KBM-Flag-Survey-Sporting - Walking
ISWL_Y,KBM-Flag-Survey-Sporting - Weight Lifting
ITBI_Y,KBM-Flag-Survey-Travel - Business International
ITBU_Y,KBM-Flag-Survey-Travel - Business USA
ITCV_Y,KBM-Flag-Survey-Travel - Casino Vacations
ITFF_Y,KBM-Flag-Survey-Travel - Frequent Flyers
ITFV_Y,KBM-Flag-Survey-Travel - Family Vacations
ITPI_Y,KBM-Flag-Survey-Travel - Personal International
ITPU_Y,KBM-Flag-Survey-Travel - Personal USA
ITRV_Y,KBM-Flag-Survey-Travel - RV
ITTIME_Y,KBM-Flag-Survey-Travel - Timeshare
IVCR_Y,KBM-Flag-Survey-Travel - Vacation Cruises
IVET_Y,KBM-Flag-Survey-Veteran in Household
IVPARKS_Y,KBM-Flag-Survey-Travel - Attractions/Theme Parks
ONLINE1,KBM-Category-Model Predicts an Individuals digital activity by their online destinations and behaviors
ONLINE1_01,KBM-Flag-Online = 01 - Well-Read Career Online Shoppers
ONLINE1_02,KBM-Flag-Online = 02 - Retired Executive
ONLINE1_03,KBM-Flag-Online = 03 - Picture Perfect
ONLINE1_04,KBM-Flag-Online = 04 - Equal Opportunity Social Networkers
ONLINE1_05,KBM-Flag-Online = 05 - Suburban Parents with Xbox
ONLINE1_06,KBM-Flag-Online = 06 - Gabbing & Gambling
ONLINE1_07,KBM-Flag-Online = 07 - Furnishing the Homestead
ONLINE1_08,KBM-Flag-Online = 08 - Social Networking Wars
ONLINE1_09,KBM-Flag-Online = 09 - Fashionable IT Online Shoppers
ONLINE1_10,KBM-Flag-Online = 10 - Social Shopping Online
ONLINE1_11,KBM-Flag-Online = 11 - Can I Use the Computer?
ONLINE1_12,KBM-Flag-Online = 12 - Cars & Money
ONLINE1_13,KBM-Flag-Online = 13 - Starbucks Sipping Exec
ONLINE1_14,KBM-Flag-Online = 14 - Weekend Parents
ONLINE1_15,KBM-Flag-Online = 15 - Seniors Shopping Online
ONLINE1_16,KBM-Flag-Online = 16 - Retiring Executive
ONLINE1_17,KBM-Flag-Online = 17 - Corporate Homebodies
ONLINE1_18,KBM-Flag-Online = 18 - The Student Body
ONLINE1_19,KBM-Flag-Online = 19 - Urban Sophisticate
ONLINE1_20,KBM-Flag-Online = 20 - Studying from Home
ONLINE1_21,KBM-Flag-Online = 21 - Homebound Shoppers
ONLINE1_22,KBM-Flag-Online = 22 - Gambling Grandparents
ONLINE1_23,KBM-Flag-Online = 23 - Facebook Fanatics
ONLINE1_24,KBM-Flag-Online = 24 - Flocking to Twitter
ONLINE1_25,KBM-Flag-Online = 25 - Corporate Networker
ONLINE1_26,KBM-Flag-Online = 26 - Working from Home
ONLINE1_27,KBM-Flag-Online = 27 - Bartering Shoppers
ONLINE1_28,KBM-Flag-Online = 28 - Hungry Social Shoppers
ONLINE1_29,KBM-Flag-Online = 29 - Deal Seekers
ONLINE1_30,KBM-Flag-Online = 30 - Value Shopping Parents
ONLINE1_31,KBM-Flag-Online = 31 - Financial Education
ONLINE1_32,KBM-Flag-Online = 32 - Social Teen Extremes
ONLINE1_33,KBM-Flag-Online = 33 - Retired but Still Learning
ONLINE1_34,KBM-Flag-Online = 34 - Executive HH Shopping Online
ONLINE1_35,KBM-Flag-Online = 35 - Online Window Shoppers
ONLINE1_36,KBM-Flag-Online = 36 - Young & Career Focused
ONLINE1_37,KBM-Flag-Online = 37 - Lonely Home PC
ONLINE1_38,KBM-Flag-Online = 38 - Tech Exec
ONLINE1_39,KBM-Flag-Online = 39 - Mid-Life Crisis
ONLINE1_40,KBM-Flag-Online = 40 - Studying with Pizza & Pet
ONLINE1_41,KBM-Flag-Online = 41 - Teen at Heart
ONLINE1_42,KBM-Flag-Online = 42 - Young Parents Connecting
ONLINE1_43,KBM-Flag-Online = 43 - Studying with Pizza & Kids
ONLINE1_44,KBM-Flag-Online = 44 - A Worker and His Dog
ONLINE1_45,KBM-Flag-Online = 45 - Extreme Streaming
PRESCA_Y,KBM-Flag-Credit Active
PRESHI_Y,KBM-Flag-Survey-Hobby
PRESMI_Y,KBM-Flag-Survey-Music
PRESRI_Y,KBM-Flag-Survey-Religious
PRESSURV_Y,KBM-Flag-Presence of Survey Data
PRESTI_Y,KBM-Flag-Survey-Travel
PUBH_Y,KBM-Flag-Public Housing Address
QHH_Y,KBM-Flag-Survey -An Individual within the household completed a survey
QIND_Y,KBM-Flag-Survey-An Individual completed a survey
RATEEN_Y,KBM-Flag-Buyer - Retail - Apparel - Teenagers
RGEN_Y,KBM-Flag-Buyer - Retail - General Merchandise
SHAPPL,"KBM-Decile-Model Predicts the likelihood of a household to have a thermostat, appliances, TV or sound system controlled through an internet connection"
SHAPPL_0,KBM-Flag-Smart Households - Appliances = 0 - Most Likely
SHAPPL_1,KBM-Flag-Smart Households - Appliances = 1
SHAPPL_2,KBM-Flag-Smart Households - Appliances = 2
SHAPPL_3,KBM-Flag-Smart Households - Appliances = 3
SHAPPL_4,KBM-Flag-Smart Households - Appliances = 4
SHAPPL_5,KBM-Flag-Smart Households - Appliances = 5
SHAPPL_6,KBM-Flag-Smart Households - Appliances = 6
SHAPPL_7,KBM-Flag-Smart Households - Appliances = 7
SHAPPL_8,KBM-Flag-Smart Households - Appliances = 8
SHAPPL_9,KBM-Flag-Smart Households - Appliances = 9 - Least Likely
SHSEC,"KBM-Decile-Model Predicts the likelihood of a household to have an alarm, lighting, door locks or security cameras controlled through an internet connection"
SHSEC_0,KBM-Flag-Smart Households - Security = 0 - Most Likely
SHSEC_1,KBM-Flag-Smart Households - Security = 1
SHSEC_2,KBM-Flag-Smart Households - Security = 2
SHSEC_3,KBM-Flag-Smart Households - Security = 3
SHSEC_4,KBM-Flag-Smart Households - Security = 4
SHSEC_5,KBM-Flag-Smart Households - Security = 5
SHSEC_6,KBM-Flag-Smart Households - Security = 6
SHSEC_7,KBM-Flag-Smart Households - Security = 7
SHSEC_8,KBM-Flag-Smart Households - Security = 8
SHSEC_9,KBM-Flag-Smart Households - Security = 9 - Least Likely
SPENDPAT,KBM-Category-The purchasing behavior of an Individual in the household based upon items bought through online or offline catalogs
SPENDPAT_00,KBM-Flag-Buyer - Catalog - Spending Patterns = 00 - No Buyer Data
SPENDPAT_01,KBM-Flag-Buyer - Catalog - Spending Patterns = 01 - Occasional Frugality
SPENDPAT_02,KBM-Flag-Buyer - Catalog - Spending Patterns = 02 - Occasional Moderation
SPENDPAT_03,KBM-Flag-Buyer - Catalog - Spending Patterns = 03 - Occasional Spending
SPENDPAT_04,KBM-Flag-Buyer - Catalog - Spending Patterns = 04 - Occasional Indulgence
SPENDPAT_05,KBM-Flag-Buyer - Catalog - Spending Patterns = 05 - Sporadic Frugality
SPENDPAT_06,KBM-Flag-Buyer - Catalog - Spending Patterns = 06 - Sporadic Moderation
SPENDPAT_07,KBM-Flag-Buyer - Catalog - Spending Patterns = 07 - Sporadic Spending
SPENDPAT_08,KBM-Flag-Buyer - Catalog - Spending Patterns = 08 - Sporadic Indulgence
SPENDPAT_09,KBM-Flag-Buyer - Catalog - Spending Patterns = 09 - Frequent Frugality
SPENDPAT_10,KBM-Flag-Buyer - Catalog - Spending Patterns = 10 - Frequent Moderation
SPENDPAT_11,KBM-Flag-Buyer - Catalog - Spending Patterns = 11 - Frequent Spending
SPENDPAT_12,KBM-Flag-Buyer - Catalog - Spending Patterns = 12 - Frequent Indulgence
SPENDPAT_13,KBM-Flag-Buyer - Catalog - Spending Patterns = 13 - Habitual Frugality
SPENDPAT_14,KBM-Flag-Buyer - Catalog - Spending Patterns = 14 - Habitual Moderation
SPENDPAT_15,KBM-Flag-Buyer - Catalog - Spending Patterns = 15 - Habitual Spending
SPENDPAT_16,KBM-Flag-Buyer - Catalog - Spending Patterns = 16 - Habitual Indulgence
TSAFFN,"KBM-Decile-Predicts the likelihood of an Individual to use a credit card to book travel that is affiliated with an airline, hotel or rental car company"
TSAFFN_0,KBM-Flag-Travel Segment - Travel Affinity = 0 - Most Likely
TSAFFN_1,KBM-Flag-Travel Segment - Travel Affinity = 1
TSAFFN_2,KBM-Flag-Travel Segment - Travel Affinity = 2
TSAFFN_3,KBM-Flag-Travel Segment - Travel Affinity = 3
TSAFFN_4,KBM-Flag-Travel Segment - Travel Affinity = 4
TSAFFN_5,KBM-Flag-Travel Segment - Travel Affinity = 5
TSAFFN_6,KBM-Flag-Travel Segment - Travel Affinity = 6
TSAFFN_7,KBM-Flag-Travel Segment - Travel Affinity = 7
TSAFFN_8,KBM-Flag-Travel Segment - Travel Affinity = 8
TSAFFN_9,KBM-Flag-Travel Segment - Travel Affinity = 9 - Least Likely
TSCONS,"KBM-Decile-Predicts the likelihood of an Individual to schedule travel and accommodations on an online site which consolidates the travel, hotel and car rental"
TSCONS_0,KBM-Flag-Travel Segment - Consolidator = 0 - Most Likely
TSCONS_1,KBM-Flag-Travel Segment - Consolidator = 1
TSCONS_2,KBM-Flag-Travel Segment - Consolidator = 2
TSCONS_3,KBM-Flag-Travel Segment - Consolidator = 3
TSCONS_4,KBM-Flag-Travel Segment - Consolidator = 4
TSCONS_5,KBM-Flag-Travel Segment - Consolidator = 5
TSCONS_6,KBM-Flag-Travel Segment - Consolidator = 6
TSCONS_7,KBM-Flag-Travel Segment - Consolidator = 7
TSCONS_8,KBM-Flag-Travel Segment - Consolidator = 8
TSCONS_9,KBM-Flag-Travel Segment - Consolidator = 9 - Least Likely
TSCOST,KBM-Decile-Predicts the likelihood of an Individual to search for low cost flights and cost comparisons along with low cost accommodations with extras like free breakfast and Wi-Fi
TSCOST_0,KBM-Flag-Travel Segment - Cost Conscience = 0 - Most Likely
TSCOST_1,KBM-Flag-Travel Segment - Cost Conscience = 1
TSCOST_2,KBM-Flag-Travel Segment - Cost Conscience = 2
TSCOST_3,KBM-Flag-Travel Segment - Cost Conscience = 3
TSCOST_4,KBM-Flag-Travel Segment - Cost Conscience = 4
TSCOST_5,KBM-Flag-Travel Segment - Cost Conscience = 5
TSCOST_6,KBM-Flag-Travel Segment - Cost Conscience = 6
TSCOST_7,KBM-Flag-Travel Segment - Cost Conscience = 7
TSCOST_8,KBM-Flag-Travel Segment - Cost Conscience = 8
TSCOST_9,KBM-Flag-Travel Segment - Cost Conscience = 9 - Least Likely
TSDBOOK,KBM-Decile-Predicts the likelihood of an Individual to schedule travel and accommodations through single transactions either via the internet or over the phone
TSDBOOK_0,KBM-Flag-Travel Segment - Direct Booker = 0 - Most Likely
TSDBOOK_1,KBM-Flag-Travel Segment - Direct Booker = 1
TSDBOOK_2,KBM-Flag-Travel Segment - Direct Booker = 2
TSDBOOK_3,KBM-Flag-Travel Segment - Direct Booker = 3
TSDBOOK_4,KBM-Flag-Travel Segment - Direct Booker = 4
TSDBOOK_5,KBM-Flag-Travel Segment - Direct Booker = 5
TSDBOOK_6,KBM-Flag-Travel Segment - Direct Booker = 6
TSDBOOK_7,KBM-Flag-Travel Segment - Direct Booker = 7
TSDBOOK_8,KBM-Flag-Travel Segment - Direct Booker = 8
TSDBOOK_9,KBM-Flag-Travel Segment - Direct Booker = 9 - Least Likely
TSLOYAL,"KBM-Decile-Predicts the likelihood of an Individual to select travel options which include loyalty programs for airlines, hotels or car rentals"
TSLOYAL_0,KBM-Flag-Travel Segment - Loyalists = 0 - Most Likely
TSLOYAL_1,KBM-Flag-Travel Segment - Loyalists = 1
TSLOYAL_2,KBM-Flag-Travel Segment - Loyalists = 2
TSLOYAL_3,KBM-Flag-Travel Segment - Loyalists = 3
TSLOYAL_4,KBM-Flag-Travel Segment - Loyalists = 4
TSLOYAL_5,KBM-Flag-Travel Segment - Loyalists = 5
TSLOYAL_6,KBM-Flag-Travel Segment - Loyalists = 6
TSLOYAL_7,KBM-Flag-Travel Segment - Loyalists = 7
TSLOYAL_8,KBM-Flag-Travel Segment - Loyalists = 8
TSLOYAL_9,KBM-Flag-Travel Segment - Loyalists = 9 - Least Likely
TSLUX,KBM-Decile-Predicts the likelihood of an Individual to schedule travel based on their schedule and preferred seating They also are likely select higher priced accommodations which may be big brand or boutique hotels
TSLUX_0,KBM-Flag-Travel Segment - Luxury Lovers = 0 - Most Likely
TSLUX_1,KBM-Flag-Travel Segment - Luxury Lovers = 1
TSLUX_2,KBM-Flag-Travel Segment - Luxury Lovers = 2
TSLUX_3,KBM-Flag-Travel Segment - Luxury Lovers = 3
TSLUX_4,KBM-Flag-Travel Segment - Luxury Lovers = 4
TSLUX_5,KBM-Flag-Travel Segment - Luxury Lovers = 5
TSLUX_6,KBM-Flag-Travel Segment - Luxury Lovers = 6
TSLUX_7,KBM-Flag-Travel Segment - Luxury Lovers = 7
TSLUX_8,KBM-Flag-Travel Segment - Luxury Lovers = 8
TSLUX_9,KBM-Flag-Travel Segment - Luxury Lovers = 9 - Least Likely
UNININDX,KBM-Decile-Model Predicts an Individual between the ages of 18 and 64 does not have health insurance coverage
UNININDX_0,KBM-Flag-Uninsured Index = 0 - Most Likely
UNININDX_1,KBM-Flag-Uninsured Index = 1
UNININDX_2,KBM-Flag-Uninsured Index = 2
UNININDX_3,KBM-Flag-Uninsured Index = 3
UNININDX_4,KBM-Flag-Uninsured Index = 4
UNININDX_5,KBM-Flag-Uninsured Index = 5
UNININDX_6,KBM-Flag-Uninsured Index = 6
UNININDX_7,KBM-Flag-Uninsured Index = 7
UNININDX_8,KBM-Flag-Uninsured Index = 8
UNININDX_9,KBM-Flag-Uninsured Index = 9 - Least Likely
plt_STLAPP,OBSOLETE-DO NOT USE IN MODELS-KBM-IND-Short Term Loan Applicants
plt_ETHEID,OBSOLETE-DO NOT USE IN MODELS-KBM-CATEGORY-Ethnicity
plt_ETHLANG,OBSOLETE-DO NOT USE IN MODELS-KBM-Category-Language
plt_LVWL20,OBSOLETE-DO NOT USE IN MODELS-KBM-CATGEORY-Living Well 2.0
plt_ENGAGE,OBSOLETE-DO NOT USE IN MODELS-KBM-Decile-Health Insurance Engagement Index
plt_INFLUENC,OBSOLETE-DO NOT USE IN MODELS-KBM-Decile-Health Insurance Influence Index
plt_IRILIFE,OBSOLETE-DO NOT USE IN MODELS-KBM-Decile-Insurance Responder Index - Life
plt_IRIAUTO,OBSOLETE-DO NOT USE IN MODELS-KBM-Decile-Insurance Responder Index - Auto
plt_C210PDSC,OBSOLETE-DO NOT USE IN MODELS-KBM-NUM-Census 2010 Population Density Centile - State
plt_C210PDUC,OBSOLETE-DO NOT USE IN MODELS-KBM-NUM-Census 2010 Population Density Centile - US
plt_STLAPP_Y,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Short Term Loan Applicants
plt_ENGAGE_0,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Engagement Index-0
plt_ENGAGE_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Engagement Index-1
plt_ENGAGE_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Engagement Index-2
plt_ENGAGE_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Engagement Index-3
plt_ENGAGE_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Engagement Index-4
plt_ENGAGE_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Engagement Index-5
plt_ENGAGE_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Engagement Index-6
plt_ENGAGE_7,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Engagement Index-7
plt_ENGAGE_8,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Engagement Index-8
plt_ENGAGE_9,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Engagement Index-9
plt_INFLUENC_0,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Influence Index-0
plt_INFLUENC_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Influence Index-1
plt_INFLUENC_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Influence Index-2
plt_INFLUENC_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Influence Index-3
plt_INFLUENC_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Influence Index-4
plt_INFLUENC_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Influence Index-5
plt_INFLUENC_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Influence Index-6
plt_INFLUENC_7,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Influence Index-7
plt_INFLUENC_8,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Influence Index-8
plt_INFLUENC_9,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Health Insurance Influence Index-9
plt_IRILIFE_0,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Life -0
plt_IRILIFE_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Life -1
plt_IRILIFE_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Life -2
plt_IRILIFE_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Life -3
plt_IRILIFE_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Life -4
plt_IRILIFE_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Life -5
plt_IRILIFE_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Life -6
plt_IRILIFE_7,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Life -7
plt_IRILIFE_8,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Life -8
plt_IRILIFE_9,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Life -9
plt_IRIAUTO_0,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Auto - 0
plt_IRIAUTO_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Flags-Insurance Responder Index - Auto - 1
